"bat (Tajlandia)","1","THB","0,1134"
"dolar ameryka?ski","1","USD","3,7130"
"dolar australijski","1","AUD","2,6443"
"dolar Hongkongu","1","HKD","0,4739"
"dolar kanadyjski","1","CAD","2,8519"
"dolar nowozelandzki","1","NZD","2,4223"
"dolar signapurski","1","SGD","2,6958"
"euro","1","EUR","4,3022"
"forint (W?gry)","100","HUF","1,3241"
"frank szwajcarski","1","CHF","3,7494"
"funt szterling","1","GBP","4,9081"
"hrywna (Ukraina)","1","UAH","0,1330"
"jen (Japonia)","100","JPY","3,3076"
"korona czeska","1","CZK","0,1666"
"korona du?ska","1","DKK","0,5767"
"korona islandzka","100","ISK","3,2010"
"korona norweska","1","NDK","0,4535"
"korona szwedzka","1","SEK","0,4149"
"kuna (Chorwacja)","1","HRK","0,5804"
"lej rumu?ski","1","RON","0,9231"
"lew (Bu?garia)","1","BGN","2,1997"
"lira turecka","1","TRY","0,6241"
"nowy izraelski szekel","1","ILS","1,0233"
"peso chilijskie","100","CLP","0,5433"
"peso meksyka?skie","1","MXN","0,1967"
"piso filipi?skie","1","PHP","0,0687"
"rand (Republika Po?udniowej Afryki)","1","ZAR","0,2568"
"real (Brazylia)","1","BRL","0,9815"
"ringgit (Malezja)","1","MYR","0,8937"
"rubel rosyjski","1","RUB","0,0563"
"rupia indonezyjska","1000",IDR","2,4419"
"rupia indyjska","100","INR","5,0377"
"won po?udniowokoreañski","100","KRW","0,3275"
"yuan renminbi (Chiny)","1","CNY","0,5361"
"SDR (MFW)","1","XDR","5,1904"